"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/step_reward","ppo_morabito_ns3_20ue_20260508_160337 - external/step_reward__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/step_reward__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/step_reward","a2c_morabito_ns3_20ue_20260508_160335 - external/step_reward__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/step_reward__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/step_reward","dqn_morabito_ns3_20ue_20260508_160334 - external/step_reward__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/step_reward__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/step_reward","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/step_reward__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/step_reward__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/step_reward","2026-05-08_13-32 - external/step_reward__MIN","2026-05-08_13-32 - external/step_reward__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/step_reward","a2c_morabito_ns3_20ue_20260507_232704 - external/step_reward__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/step_reward__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/step_reward","ppo_morabito_ns3_20ue_20260507_232608 - external/step_reward__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/step_reward__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/step_reward","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/step_reward__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/step_reward__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/step_reward","dqn_morabito_ns3_20ue_20260507_232604 - external/step_reward__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/step_reward__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"10","6.838999999999999","6.838999999999999","6.838999999999999","10","10","10","6.524999999999999","6.524999999999999","6.524999999999999","10","10","10","1.658999999999999","1.658999999999999","1.658999999999999","10","10","10","10.756999999999998","10.756999999999998","10.756999999999998","10","10","10","8.158999999999999","8.158999999999999","8.158999999999999","1278","1278","1278","9.009","9.009","9.009","10","10","10","7.7890000000000015","7.7890000000000015","7.7890000000000015","10","10","10","8.451","8.451","8.451","10","10","10","14.152999999999999","14.152999999999999","14.152999999999999","10","10","10"
"11","14.305999999999997","14.305999999999997","14.305999999999997","11","11","11","11.241","11.241","11.241","11","11","11","11.061","11.061","11.061","11","11","11","13.186","13.186","13.186","11","11","11","12.088000000000001","12.088000000000001","12.088000000000001","1340","1340","1340","11.197000000000003","11.197000000000003","11.197000000000003","11","11","11","13.305","13.305","13.305","11","11","11","11.692999999999998","11.692999999999998","11.692999999999998","11","11","11","5.7209999999999965","5.7209999999999965","5.7209999999999965","11","11","11"
"12","18.162999999999997","18.162999999999997","18.162999999999997","12","12","12","7.448","7.448","7.448","12","12","12","10.399000000000001","10.399000000000001","10.399000000000001","12","12","12","7.277999999999999","7.277999999999999","7.277999999999999","12","12","12","9.459000000000003","9.459000000000003","9.459000000000003","1372","1372","1372","8.765","8.765","8.765","12","12","12","9.195","9.195","9.195","12","12","12","10.735","10.735","10.735","12","12","12","5.015000000000001","5.015000000000001","5.015000000000001","12","12","12"
"13","5.686999999999998","5.686999999999998","5.686999999999998","13","13","13","9.854999999999997","9.854999999999997","9.854999999999997","13","13","13","8.308","8.308","8.308","13","13","13","13.71","13.71","13.71","13","13","13","7.990000000000002","7.990000000000002","7.990000000000002","1433","1433","1433","10.832","10.832","10.832","13","13","13","12.369","12.369","12.369","13","13","13","2.628999999999998","2.628999999999998","2.628999999999998","13","13","13","5.686","5.686","5.686","13","13","13"
"14","5.689","5.689","5.689","14","14","14","9.183","9.183","9.183","14","14","14","4.501000000000001","4.501000000000001","4.501000000000001","14","14","14","11.091999999999999","11.091999999999999","11.091999999999999","14","14","14","4.314","4.314","4.314","1630","1630","1630","7.427","7.427","7.427","14","14","14","8.874000000000002","8.874000000000002","8.874000000000002","14","14","14","11.177","11.177","11.177","14","14","14","15.973999999999997","15.973999999999997","15.973999999999997","14","14","14"
"15","12.067","12.067","12.067","15","15","15","12.79","12.79","12.79","15","15","15","18.701","18.701","18.701","15","15","15","13.942","13.942","13.942","15","15","15","10.631","10.631","10.631","1687","1687","1687","11.280999999999999","11.280999999999999","11.280999999999999","15","15","15","-0.3569999999999993","-0.3569999999999993","-0.3569999999999993","15","15","15","9.962000000000003","9.962000000000003","9.962000000000003","15","15","15","2.9040000000000035","2.9040000000000035","2.9040000000000035","15","15","15"
"16","12.043999999999997","12.043999999999997","12.043999999999997","16","16","16","18.142000000000003","18.142000000000003","18.142000000000003","16","16","16","11.030000000000001","11.030000000000001","11.030000000000001","16","16","16","12.557000000000002","12.557000000000002","12.557000000000002","16","16","16","8.125999999999998","8.125999999999998","8.125999999999998","1747","1747","1747","2.9040000000000035","2.9040000000000035","2.9040000000000035","16","16","16","2.479999999999997","2.479999999999997","2.479999999999997","16","16","16","10.023000000000003","10.023000000000003","10.023000000000003","16","16","16","13.417000000000002","13.417000000000002","13.417000000000002","16","16","16"
"17","11.070999999999998","11.070999999999998","11.070999999999998","17","17","17","11.375","11.375","11.375","17","17","17","5.207999999999998","5.207999999999998","5.207999999999998","17","17","17","11.627000000000002","11.627000000000002","11.627000000000002","17","17","17","5.055","5.055","5.055","1807","1807","1807","12.862000000000002","12.862000000000002","12.862000000000002","17","17","17","11.192999999999998","11.192999999999998","11.192999999999998","17","17","17","13.543","13.543","13.543","17","17","17","11.061","11.061","11.061","17","17","17"
"18","11.161999999999999","11.161999999999999","11.161999999999999","18","18","18","4.515999999999998","4.515999999999998","4.515999999999998","18","18","18","8.191000000000003","8.191000000000003","8.191000000000003","18","18","18","13.854999999999997","13.854999999999997","13.854999999999997","18","18","18","10.945","10.945","10.945","1865","1865","1865","8.683999999999997","8.683999999999997","8.683999999999997","18","18","18","12.383000000000003","12.383000000000003","12.383000000000003","18","18","18","10.683999999999997","10.683999999999997","10.683999999999997","18","18","18","4.850999999999999","4.850999999999999","4.850999999999999","18","18","18"
"19","15.564","15.564","15.564","19","19","19","11.393999999999998","11.393999999999998","11.393999999999998","19","19","19","5.908000000000001","5.908000000000001","5.908000000000001","19","19","19","8.715000000000003","8.715000000000003","8.715000000000003","19","19","19","7.109999999999999","7.109999999999999","7.109999999999999","1925","1925","1925","2.9669999999999987","2.9669999999999987","2.9669999999999987","19","19","19","5.152999999999999","5.152999999999999","5.152999999999999","19","19","19","9.709000000000003","9.709000000000003","9.709000000000003","19","19","19","7.195999999999998","7.195999999999998","7.195999999999998","19","19","19"
"20","14.600000000000001","14.600000000000001","14.600000000000001","20","20","20","15.375","15.375","15.375","20","20","20","10.200000000000003","10.200000000000003","10.200000000000003","20","20","20","13.280999999999999","13.280999999999999","13.280999999999999","20","20","20","15.912999999999997","15.912999999999997","15.912999999999997","1981","1981","1981","9.456000000000003","9.456000000000003","9.456000000000003","20","20","20","12.402000000000001","12.402000000000001","12.402000000000001","20","20","20","5.695","5.695","5.695","20","20","20","2.2220000000000013","2.2220000000000013","2.2220000000000013","20","20","20"
"21","14.338999999999999","14.338999999999999","14.338999999999999","21","21","21","7.302","7.302","7.302","21","21","21","16.369999999999997","16.369999999999997","16.369999999999997","21","21","21","7.969999999999999","7.969999999999999","7.969999999999999","21","21","21","12.182000000000002","12.182000000000002","12.182000000000002","2041","2041","2041","14.015999999999998","14.015999999999998","14.015999999999998","21","21","21","10.924999999999997","10.924999999999997","10.924999999999997","21","21","21","13.191000000000003","13.191000000000003","13.191000000000003","21","21","21","-33.964","-33.964","-33.964","21","21","21"
"22","7.951999999999998","7.951999999999998","7.951999999999998","22","22","22","8.945999999999998","8.945999999999998","8.945999999999998","22","22","22","6.482999999999997","6.482999999999997","6.482999999999997","22","22","22","11.627000000000002","11.627000000000002","11.627000000000002","22","22","22","16.018","16.018","16.018","2101","2101","2101","4.735999999999997","4.735999999999997","4.735999999999997","22","22","22","4.558","4.558","4.558","22","22","22","-2.8810000000000002","-2.8810000000000002","-2.8810000000000002","22","22","22","10.600000000000001","10.600000000000001","10.600000000000001","22","22","22"
"23","3.155000000000001","3.155000000000001","3.155000000000001","23","23","23","5.100999999999999","5.100999999999999","5.100999999999999","23","23","23","5.491","5.491","5.491","23","23","23","6.840000000000003","6.840000000000003","6.840000000000003","23","23","23","6.02","6.02","6.02","2158","2158","2158","8.860999999999997","8.860999999999997","8.860999999999997","23","23","23","3.0080000000000027","3.0080000000000027","3.0080000000000027","23","23","23","6.546999999999997","6.546999999999997","6.546999999999997","23","23","23","1.8539999999999992","1.8539999999999992","1.8539999999999992","23","23","23"
"24","2.3900000000000006","2.3900000000000006","2.3900000000000006","24","24","24","8.14","8.14","8.14","24","24","24","12.914000000000001","12.914000000000001","12.914000000000001","24","24","24","6.338000000000001","6.338000000000001","6.338000000000001","24","24","24","4.459","4.459","4.459","2219","2219","2219","8.829999999999998","8.829999999999998","8.829999999999998","24","24","24","16.537","16.537","16.537","24","24","24","16.567999999999998","16.567999999999998","16.567999999999998","24","24","24","12.905000000000001","12.905000000000001","12.905000000000001","24","24","24"
"25","11.134","11.134","11.134","25","25","25","9.918","9.918","9.918","25","25","25","13.468000000000004","13.468000000000004","13.468000000000004","25","25","25","7.731999999999999","7.731999999999999","7.731999999999999","25","25","25","8.462000000000003","8.462000000000003","8.462000000000003","2278","2278","2278","8.997999999999998","8.997999999999998","8.997999999999998","25","25","25","13.216999999999999","13.216999999999999","13.216999999999999","25","25","25","6.829999999999998","6.829999999999998","6.829999999999998","25","25","25","9.375","9.375","9.375","25","25","25"
"26","17.438000000000002","17.438000000000002","17.438000000000002","26","26","26","10.485999999999997","10.485999999999997","10.485999999999997","26","26","26","13.009999999999998","13.009999999999998","13.009999999999998","26","26","26","11.197000000000003","11.197000000000003","11.197000000000003","26","26","26","6.187999999999999","6.187999999999999","6.187999999999999","2335","2335","2335","9.280000000000001","9.280000000000001","9.280000000000001","26","26","26","8.843000000000004","8.843000000000004","8.843000000000004","26","26","26","9.595999999999997","9.595999999999997","9.595999999999997","26","26","26","10.831000000000003","10.831000000000003","10.831000000000003","26","26","26"
"27","9.091999999999999","9.091999999999999","9.091999999999999","27","27","27","8.767000000000003","8.767000000000003","8.767000000000003","27","27","27","11.677999999999997","11.677999999999997","11.677999999999997","27","27","27","5.338999999999999","5.338999999999999","5.338999999999999","27","27","27","7.591999999999999","7.591999999999999","7.591999999999999","2393","2393","2393","8.055","8.055","8.055","27","27","27","10.735999999999997","10.735999999999997","10.735999999999997","27","27","27","8.747","8.747","8.747","27","27","27","6.661999999999999","6.661999999999999","6.661999999999999","27","27","27"
"28","4.494999999999997","4.494999999999997","4.494999999999997","28","28","28","6.747","6.747","6.747","28","28","28","13.835999999999999","13.835999999999999","13.835999999999999","28","28","28","10.201","10.201","10.201","28","28","28","13.094000000000001","13.094000000000001","13.094000000000001","2453","2453","2453","7.479999999999997","7.479999999999997","7.479999999999997","28","28","28","13.165","13.165","13.165","28","28","28","13.290999999999997","13.290999999999997","13.290999999999997","28","28","28","11.459000000000003","11.459000000000003","11.459000000000003","28","28","28"
"29","6.463000000000001","6.463000000000001","6.463000000000001","29","29","29","3.1850000000000023","3.1850000000000023","3.1850000000000023","29","29","29","13.887","13.887","13.887","29","29","29","14.329999999999998","14.329999999999998","14.329999999999998","29","29","29","9.866","9.866","9.866","2514","2514","2514","8.619","8.619","8.619","29","29","29","6.862000000000002","6.862000000000002","6.862000000000002","29","29","29","13.533000000000001","13.533000000000001","13.533000000000001","29","29","29","13.143999999999998","13.143999999999998","13.143999999999998","29","29","29"
"30","9.161999999999999","9.161999999999999","9.161999999999999","30","30","30","9.607999999999997","9.607999999999997","9.607999999999997","30","30","30","9.709000000000003","9.709000000000003","9.709000000000003","30","30","30","9.042000000000002","9.042000000000002","9.042000000000002","30","30","30","9.112000000000002","9.112000000000002","9.112000000000002","2572","2572","2572","14.341000000000001","14.341000000000001","14.341000000000001","30","30","30","12.067","12.067","12.067","30","30","30","13.386000000000003","13.386000000000003","13.386000000000003","30","30","30","9.131","9.131","9.131","30","30","30"
"31","13.299999999999997","13.299999999999997","13.299999999999997","31","31","31","5.008000000000003","5.008000000000003","5.008000000000003","31","31","31","9.323","9.323","9.323","31","31","31","13.991999999999997","13.991999999999997","13.991999999999997","31","31","31","9.552","9.552","9.552","2632","2632","2632","3.488999999999997","3.488999999999997","3.488999999999997","31","31","31","10.966000000000001","10.966000000000001","10.966000000000001","31","31","31","5.3530000000000015","5.3530000000000015","5.3530000000000015","31","31","31","18.069000000000003","18.069000000000003","18.069000000000003","31","31","31"
"32","19.747","19.747","19.747","32","32","32","9.585","9.585","9.585","32","32","32","15.323999999999998","15.323999999999998","15.323999999999998","32","32","32","13.134","13.134","13.134","32","32","32","5.695","5.695","5.695","2692","2692","2692","11.115000000000002","11.115000000000002","11.115000000000002","32","32","32","-37.161","-37.161","-37.161","32","32","32","11.040999999999997","11.040999999999997","11.040999999999997","32","32","32","13.826","13.826","13.826","32","32","32"
"33","7.1129999999999995","7.1129999999999995","7.1129999999999995","33","33","33","10.274999999999999","10.274999999999999","10.274999999999999","33","33","33","9.878999999999998","9.878999999999998","9.878999999999998","33","33","33","-5.027000000000001","-5.027000000000001","-5.027000000000001","33","33","33","10.966000000000001","10.966000000000001","10.966000000000001","2751","2751","2751","11.854999999999997","11.854999999999997","11.854999999999997","33","33","33","9.585999999999999","9.585999999999999","9.585999999999999","33","33","33","8.777999999999999","8.777999999999999","8.777999999999999","33","33","33","6.694000000000003","6.694000000000003","6.694000000000003","33","33","33"
"34","5.447000000000003","5.447000000000003","5.447000000000003","34","34","34","1.448999999999998","1.448999999999998","1.448999999999998","34","34","34","8.935000000000002","8.935000000000002","8.935000000000002","34","34","34","10.454999999999998","10.454999999999998","10.454999999999998","34","34","34","9.154000000000003","9.154000000000003","9.154000000000003","2810","2810","2810","7.667999999999999","7.667999999999999","7.667999999999999","34","34","34","5.364999999999998","5.364999999999998","5.364999999999998","34","34","34","8.704999999999998","8.704999999999998","8.704999999999998","34","34","34","-3.686","-3.686","-3.686","34","34","34"
"35","14.189999999999998","14.189999999999998","14.189999999999998","35","35","35","7.134","7.134","7.134","35","35","35","7.238999999999997","7.238999999999997","7.238999999999997","35","35","35","13.585","13.585","13.585","35","35","35","4.9830000000000005","4.9830000000000005","4.9830000000000005","2871","2871","2871","9.313000000000002","9.313000000000002","9.313000000000002","35","35","35","17.579","17.579","17.579","35","35","35","11.332","11.332","11.332","35","35","35","17.155","17.155","17.155","35","35","35"
"36","15.953000000000003","15.953000000000003","15.953000000000003","36","36","36","12.588999999999999","12.588999999999999","12.588999999999999","36","36","36","7.5319999999999965","7.5319999999999965","7.5319999999999965","36","36","36","11.573999999999998","11.573999999999998","11.573999999999998","36","36","36","16.122999999999998","16.122999999999998","16.122999999999998","2932","2932","2932","7.594999999999999","7.594999999999999","7.594999999999999","36","36","36","12.451","12.451","12.451","36","36","36","15.732999999999997","15.732999999999997","15.732999999999997","36","36","36","12.779000000000003","12.779000000000003","12.779000000000003","36","36","36"
"37","6.526000000000003","6.526000000000003","6.526000000000003","37","37","37","2.8649999999999984","2.8649999999999984","2.8649999999999984","37","37","37","-0.9540000000000006","-0.9540000000000006","-0.9540000000000006","37","37","37","10.430999999999997","10.430999999999997","10.430999999999997","37","37","37","5.234000000000002","5.234000000000002","5.234000000000002","2991","2991","2991","5.790999999999997","5.790999999999997","5.790999999999997","37","37","37","11.857999999999997","11.857999999999997","11.857999999999997","37","37","37","4.463000000000001","4.463000000000001","4.463000000000001","37","37","37","12.182000000000002","12.182000000000002","12.182000000000002","37","37","37"
"38","8.454","8.454","8.454","38","38","38","18.97","18.97","18.97","38","38","38","10.828000000000003","10.828000000000003","10.828000000000003","38","38","38","12.380000000000003","12.380000000000003","12.380000000000003","38","38","38","9.509999999999998","9.509999999999998","9.509999999999998","3050","3050","3050","8.341000000000001","8.341000000000001","8.341000000000001","38","38","38","8.390999999999998","8.390999999999998","8.390999999999998","38","38","38","12.055999999999997","12.055999999999997","12.055999999999997","38","38","38","4.756999999999998","4.756999999999998","4.756999999999998","38","38","38"
"39","6.369","6.369","6.369","39","39","39","13.805","13.805","13.805","39","39","39","12.183999999999997","12.183999999999997","12.183999999999997","39","39","39","9.576999999999998","9.576999999999998","9.576999999999998","39","39","39","7.853999999999999","7.853999999999999","7.853999999999999","3107","3107","3107","13.741999999999997","13.741999999999997","13.741999999999997","39","39","39","6.546999999999997","6.546999999999997","6.546999999999997","39","39","39","11.331000000000003","11.331000000000003","11.331000000000003","39","39","39","9.667000000000002","9.667000000000002","9.667000000000002","39","39","39"
"40","5.939","5.939","5.939","40","40","40","6.546999999999997","6.546999999999997","6.546999999999997","40","40","40","-34.016999999999996","-34.016999999999996","-34.016999999999996","40","40","40","8.024000000000001","8.024000000000001","8.024000000000001","40","40","40","14.906999999999996","14.906999999999996","14.906999999999996","3167","3167","3167","11.887","11.887","11.887","40","40","40","11.006999999999998","11.006999999999998","11.006999999999998","40","40","40","9.125","9.125","9.125","40","40","40","13.826999999999998","13.826999999999998","13.826999999999998","40","40","40"
"41","11.762999999999998","11.762999999999998","11.762999999999998","41","41","41","-4.66","-4.66","-4.66","41","41","41","10.610999999999997","10.610999999999997","10.610999999999997","41","41","41","12.756999999999998","12.756999999999998","12.756999999999998","41","41","41","7.487000000000002","7.487000000000002","7.487000000000002","3225","3225","3225","7.700000000000003","7.700000000000003","7.700000000000003","41","41","41","9.753999999999998","9.753999999999998","9.753999999999998","41","41","41","6.3160000000000025","6.3160000000000025","6.3160000000000025","41","41","41","5.729999999999997","5.729999999999997","5.729999999999997","41","41","41"
