"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/aggregate_throughput_mbps","2026-05-08_13-32 - external/aggregate_throughput_mbps__MIN","2026-05-08_13-32 - external/aggregate_throughput_mbps__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"11","35.306","35.306","35.306","11","11","11","38.241","38.241","38.241","11","11","11","36.061","36.061","36.061","11","11","11","36.186","36.186","36.186","11","11","11","37.088","37.088","37.088","1340","1340","1340","36.197","36.197","36.197","11","11","11","40.305","40.305","40.305","11","11","11","40.693","40.693","40.693","11","11","11","36.721","36.721","36.721","11","11","11"
"12","39.163","39.163","39.163","12","12","12","36.448","36.448","36.448","12","12","12","33.399","33.399","33.399","12","12","12","32.278","32.278","32.278","12","12","12","36.459","36.459","36.459","1372","1372","1372","33.765","33.765","33.765","12","12","12","34.195","34.195","34.195","12","12","12","35.735","35.735","35.735","12","12","12","36.015","36.015","36.015","12","12","12"
"13","34.687","34.687","34.687","13","13","13","34.855","34.855","34.855","13","13","13","37.308","37.308","37.308","13","13","13","36.71","36.71","36.71","13","13","13","32.99","32.99","32.99","1433","1433","1433","37.832","37.832","37.832","13","13","13","35.369","35.369","35.369","13","13","13","33.629","33.629","33.629","13","13","13","32.686","32.686","32.686","13","13","13"
"14","36.689","36.689","36.689","14","14","14","32.183","32.183","32.183","14","14","14","29.501","29.501","29.501","14","14","14","36.092","36.092","36.092","14","14","14","31.314","31.314","31.314","1630","1630","1630","36.427","36.427","36.427","14","14","14","37.874","37.874","37.874","14","14","14","38.177","38.177","38.177","14","14","14","38.974","38.974","38.974","14","14","14"
"15","37.067","37.067","37.067","15","15","15","37.79","37.79","37.79","15","15","15","43.701","43.701","43.701","15","15","15","38.942","38.942","38.942","15","15","15","35.631","35.631","35.631","1687","1687","1687","36.281","36.281","36.281","15","15","15","18.643","18.643","18.643","15","15","15","36.962","36.962","36.962","15","15","15","35.904","35.904","35.904","15","15","15"
"16","35.044","35.044","35.044","16","16","16","39.142","39.142","39.142","16","16","16","36.03","36.03","36.03","16","16","16","35.557","35.557","35.557","16","16","16","33.126","33.126","33.126","1747","1747","1747","35.904","35.904","35.904","16","16","16","35.48","35.48","35.48","16","16","16","35.023","35.023","35.023","16","16","16","36.417","36.417","36.417","16","16","16"
"17","36.071","36.071","36.071","17","17","17","36.375","36.375","36.375","17","17","17","36.208","36.208","36.208","17","17","17","36.627","36.627","36.627","17","17","17","30.055","30.055","30.055","1807","1807","1807","35.862","35.862","35.862","17","17","17","32.193","32.193","32.193","17","17","17","36.543","36.543","36.543","17","17","17","36.061","36.061","36.061","17","17","17"
"18","32.162","32.162","32.162","18","18","18","35.516","35.516","35.516","18","18","18","35.191","35.191","35.191","18","18","18","34.855","34.855","34.855","18","18","18","35.945","35.945","35.945","1865","1865","1865","35.684","35.684","35.684","18","18","18","39.383","39.383","39.383","18","18","18","35.684","35.684","35.684","18","18","18","35.851","35.851","35.851","18","18","18"
"19","36.564","36.564","36.564","19","19","19","34.394","34.394","34.394","19","19","19","34.908","34.908","34.908","19","19","19","35.715","35.715","35.715","19","19","19","32.11","32.11","32.11","1925","1925","1925","35.967","35.967","35.967","19","19","19","34.153","34.153","34.153","19","19","19","34.709","34.709","34.709","19","19","19","34.196","34.196","34.196","19","19","19"
"20","35.6","35.6","35.6","20","20","20","36.375","36.375","36.375","20","20","20","33.2","33.2","33.2","20","20","20","36.281","36.281","36.281","20","20","20","40.913","40.913","40.913","1981","1981","1981","32.456","32.456","32.456","20","20","20","37.402","37.402","37.402","20","20","20","30.695","30.695","30.695","20","20","20","35.222","35.222","35.222","20","20","20"
"21","37.339","37.339","37.339","21","21","21","36.302","36.302","36.302","21","21","21","37.37","37.37","37.37","21","21","21","34.97","34.97","34.97","21","21","21","37.182","37.182","37.182","2041","2041","2041","39.016","39.016","39.016","21","21","21","35.925","35.925","35.925","21","21","21","42.191","42.191","42.191","21","21","21","18.036","18.036","18.036","21","21","21"
"22","36.952","36.952","36.952","22","22","22","35.946","35.946","35.946","22","22","22","37.483","37.483","37.483","22","22","22","36.627","36.627","36.627","22","22","22","41.018","41.018","41.018","2101","2101","2101","35.736","35.736","35.736","22","22","22","35.558","35.558","35.558","22","22","22","18.119","18.119","18.119","22","22","22","35.6","35.6","35.6","22","22","22"
"23","36.155","36.155","36.155","23","23","23","34.101","34.101","34.101","23","23","23","36.491","36.491","36.491","23","23","23","35.84","35.84","35.84","23","23","23","31.02","31.02","31.02","2158","2158","2158","35.861","35.861","35.861","23","23","23","36.008","36.008","36.008","23","23","23","35.547","35.547","35.547","23","23","23","32.854","32.854","32.854","23","23","23"
"24","35.39","35.39","35.39","24","24","24","37.14","37.14","37.14","24","24","24","35.914","35.914","35.914","24","24","24","35.338","35.338","35.338","24","24","24","29.459","29.459","29.459","2219","2219","2219","35.83","35.83","35.83","24","24","24","35.537","35.537","35.537","24","24","24","35.568","35.568","35.568","24","24","24","37.905","37.905","37.905","24","24","24"
"25","36.134","36.134","36.134","25","25","25","34.918","34.918","34.918","25","25","25","34.468","34.468","34.468","25","25","25","36.732","36.732","36.732","25","25","25","33.462","33.462","33.462","2278","2278","2278","35.998","35.998","35.998","25","25","25","34.217","34.217","34.217","25","25","25","35.83","35.83","35.83","25","25","25","36.375","36.375","36.375","25","25","25"
"26","36.438","36.438","36.438","26","26","26","37.486","37.486","37.486","26","26","26","38.01","38.01","38.01","26","26","26","36.197","36.197","36.197","26","26","26","31.188","31.188","31.188","2335","2335","2335","36.28","36.28","36.28","26","26","26","37.843","37.843","37.843","26","26","26","36.596","36.596","36.596","26","26","26","35.831","35.831","35.831","26","26","26"
"27","36.092","36.092","36.092","27","27","27","35.767","35.767","35.767","27","27","27","34.678","34.678","34.678","27","27","27","30.339","30.339","30.339","27","27","27","32.592","32.592","32.592","2393","2393","2393","35.055","35.055","35.055","27","27","27","35.736","35.736","35.736","27","27","27","35.747","35.747","35.747","27","27","27","35.662","35.662","35.662","27","27","27"
"28","35.495","35.495","35.495","28","28","28","35.747","35.747","35.747","28","28","28","36.836","36.836","36.836","28","28","28","35.201","35.201","35.201","28","28","28","38.094","38.094","38.094","2453","2453","2453","36.48","36.48","36.48","28","28","28","36.165","36.165","36.165","28","28","28","36.291","36.291","36.291","28","28","28","36.459","36.459","36.459","28","28","28"
"29","35.463","35.463","35.463","29","29","29","34.185","34.185","34.185","29","29","29","34.887","34.887","34.887","29","29","29","39.33","39.33","39.33","29","29","29","34.866","34.866","34.866","2514","2514","2514","33.619","33.619","33.619","29","29","29","35.862","35.862","35.862","29","29","29","36.533","36.533","36.533","29","29","29","36.144","36.144","36.144","29","29","29"
"30","32.162","32.162","32.162","30","30","30","38.608","38.608","38.608","30","30","30","34.709","34.709","34.709","30","30","30","38.042","38.042","38.042","30","30","30","34.112","34.112","34.112","2572","2572","2572","39.341","39.341","39.341","30","30","30","37.067","37.067","37.067","30","30","30","36.386","36.386","36.386","30","30","30","32.131","32.131","32.131","30","30","30"
"31","34.3","34.3","34.3","31","31","31","36.008","36.008","36.008","31","31","31","36.323","36.323","36.323","31","31","31","34.992","34.992","34.992","31","31","31","34.552","34.552","34.552","2632","2632","2632","34.489","34.489","34.489","31","31","31","35.966","35.966","35.966","31","31","31","34.353","34.353","34.353","31","31","31","39.069","39.069","39.069","31","31","31"
"32","42.747","42.747","42.747","32","32","32","36.585","36.585","36.585","32","32","32","38.324","38.324","38.324","32","32","32","36.134","36.134","36.134","32","32","32","30.695","30.695","30.695","2692","2692","2692","38.115","38.115","38.115","32","32","32","14.839","14.839","14.839","32","32","32","38.041","38.041","38.041","32","32","32","36.826","36.826","36.826","32","32","32"
"33","36.113","36.113","36.113","33","33","33","35.275","35.275","35.275","33","33","33","36.879","36.879","36.879","33","33","33","17.973","17.973","17.973","33","33","33","35.966","35.966","35.966","2751","2751","2751","34.855","34.855","34.855","33","33","33","38.586","38.586","38.586","33","33","33","35.778","35.778","35.778","33","33","33","35.694","35.694","35.694","33","33","33"
"34","34.447","34.447","34.447","34","34","34","36.449","36.449","36.449","34","34","34","35.935","35.935","35.935","34","34","34","37.455","37.455","37.455","34","34","34","34.154","34.154","34.154","2810","2810","2810","36.668","36.668","36.668","34","34","34","30.365","30.365","30.365","34","34","34","35.705","35.705","35.705","34","34","34","19.314","19.314","19.314","34","34","34"
"35","35.19","35.19","35.19","35","35","35","36.134","36.134","36.134","35","35","35","36.239","36.239","36.239","35","35","35","36.585","36.585","36.585","35","35","35","29.983","29.983","29.983","2871","2871","2871","36.313","36.313","36.313","35","35","35","42.579","42.579","42.579","35","35","35","34.332","34.332","34.332","35","35","35","36.155","36.155","36.155","35","35","35"
"36","38.953","38.953","38.953","36","36","36","35.589","35.589","35.589","36","36","36","36.532","36.532","36.532","36","36","36","36.574","36.574","36.574","36","36","36","41.123","41.123","41.123","2932","2932","2932","36.595","36.595","36.595","36","36","36","33.451","33.451","33.451","36","36","36","38.733","38.733","38.733","36","36","36","37.779","37.779","37.779","36","36","36"
"37","35.526","35.526","35.526","37","37","37","27.865","27.865","27.865","37","37","37","18.046","18.046","18.046","37","37","37","33.431","33.431","33.431","37","37","37","30.234","30.234","30.234","2991","2991","2991","32.791","32.791","32.791","37","37","37","38.858","38.858","38.858","37","37","37","35.463","35.463","35.463","37","37","37","37.182","37.182","37.182","37","37","37"
"38","37.454","37.454","37.454","38","38","38","39.97","39.97","39.97","38","38","38","33.828","33.828","33.828","38","38","38","35.38","35.38","35.38","38","38","38","34.51","34.51","34.51","3050","3050","3050","39.341","39.341","39.341","38","38","38","37.391","37.391","37.391","38","38","38","37.056","37.056","37.056","38","38","38","35.757","35.757","35.757","38","38","38"
"39","35.369","35.369","35.369","39","39","39","36.805","36.805","36.805","39","39","39","39.184","39.184","39.184","39","39","39","40.577","40.577","40.577","39","39","39","32.854","32.854","32.854","3107","3107","3107","36.742","36.742","36.742","39","39","39","35.547","35.547","35.547","39","39","39","34.331","34.331","34.331","39","39","39","34.667","34.667","34.667","39","39","39"
"40","34.939","34.939","34.939","40","40","40","35.547","35.547","35.547","40","40","40","17.983","17.983","17.983","40","40","40","35.024","35.024","35.024","40","40","40","39.907","39.907","39.907","3167","3167","3167","34.887","34.887","34.887","40","40","40","34.007","34.007","34.007","40","40","40","38.125","38.125","38.125","40","40","40","38.827","38.827","38.827","40","40","40"
"41","36.763","36.763","36.763","41","41","41","18.34","18.34","18.34","41","41","41","35.611","35.611","35.611","41","41","41","35.757","35.757","35.757","41","41","41","32.487","32.487","32.487","3225","3225","3225","36.7","36.7","36.7","41","41","41","36.754","36.754","36.754","41","41","41","35.316","35.316","35.316","41","41","41","34.73","34.73","34.73","41","41","41"
"42","35.945","35.945","35.945","42","42","42","33.022","33.022","33.022","42","42","42","34.866","34.866","34.866","42","42","42","35.725","35.725","35.725","42","42","42","39.047","39.047","39.047","3283","3283","3283","35.379","35.379","35.379","42","42","42","35.212","35.212","35.212","42","42","42","33.567","33.567","33.567","42","42","42","34.269","34.269","34.269","42","42","42"
"43","34.06","34.06","34.06","43","43","43","33.053","33.053","33.053","43","43","43","17.899","17.899","17.899","43","43","43","36.7","36.7","36.7","43","43","43","31.281","31.281","31.281","3339","3339","3339","36.156","36.156","36.156","43","43","43","37.56","37.56","37.56","43","43","43","36.805","36.805","36.805","43","43","43","38.325","38.325","38.325","43","43","43"
"44","29.584","29.584","29.584","44","44","44","38.942","38.942","38.942","44","44","44","35.453","35.453","35.453","44","44","44","35.579","35.579","35.579","44","44","44","34.919","34.919","34.919","3398","3398","3398","36.103","36.103","36.103","44","44","44","36.239","36.239","36.239","44","44","44","37.172","37.172","37.172","44","44","44","35.443","35.443","35.443","44","44","44"
"45","35.526","35.526","35.526","45","45","45","34.405","34.405","34.405","45","45","45","34.258","34.258","34.258","45","45","45","35.873","35.873","35.873","45","45","45","35.998","35.998","35.998","3457","3457","3457","34.604","34.604","34.604","45","45","45","35.652","35.652","35.652","45","45","45","34.657","34.657","34.657","45","45","45","36.585","36.585","36.585","45","45","45"
"46","39.047","39.047","39.047","46","46","46","39.508","39.508","39.508","46","46","46","37.643","37.643","37.643","46","46","46","36.103","36.103","36.103","46","46","46","33.419","33.419","33.419","3516","3516","3516","36.889","36.889","36.889","46","46","46","33.692","33.692","33.692","46","46","46","34.143","34.143","34.143","46","46","46","35.306","35.306","35.306","46","46","46"
"47","36.669","36.669","36.669","47","47","47","36.574","36.574","36.574","47","47","47","36.648","36.648","36.648","47","47","47","36.637","36.637","36.637","47","47","47","32.927","32.927","32.927","3576","3576","3576","36.249","36.249","36.249","47","47","47","37.381","37.381","37.381","47","47","47","36.773","36.773","36.773","47","47","47","35.589","35.589","35.589","47","47","47"
"48","34.783","34.783","34.783","48","48","48","35.558","35.558","35.558","48","48","48","34.52","34.52","34.52","48","48","48","35.746","35.746","35.746","48","48","48","35.138","35.138","35.138","3634","3634","3634","36.343","36.343","36.343","48","48","48","37.003","37.003","37.003","48","48","48","37.674","37.674","37.674","48","48","48","34.395","34.395","34.395","48","48","48"
"49","36.575","36.575","36.575","49","49","49","30.286","30.286","30.286","49","49","49","35.118","35.118","35.118","49","49","49","35.841","35.841","35.841","49","49","49","33.2","33.2","33.2","3695","3695","3695","35.799","35.799","35.799","49","49","49","35.684","35.684","35.684","49","49","49","36.323","36.323","36.323","49","49","49","37.968","37.968","37.968","49","49","49"
"50","35.82","35.82","35.82","50","50","50","41.772","41.772","41.772","50","50","50","34.94","34.94","34.94","50","50","50","35.484","35.484","35.484","50","50","50","32.927","32.927","32.927","3755","3755","3755","32.927","32.927","32.927","50","50","50","33.22","33.22","33.22","50","50","50","36.25","36.25","36.25","50","50","50","36.343","36.343","36.343","50","50","50"
"51","35.988","35.988","35.988","51","51","51","35.777","35.777","35.777","51","51","51","39.446","39.446","39.446","51","51","51","36.679","36.679","36.679","51","51","51","36.229","36.229","36.229","3816","3816","3816","39.561","39.561","39.561","51","51","51","38.733","38.733","38.733","51","51","51","36.018","36.018","36.018","51","51","51","36.376","36.376","36.376","51","51","51"
"52","36.585","36.585","36.585","52","52","52","36.092","36.092","36.092","52","52","52","35.662","35.662","35.662","52","52","52","37.014","37.014","37.014","52","52","52","33.253","33.253","33.253","3876","3876","3876","35.925","35.925","35.925","52","52","52","37.528","37.528","37.528","52","52","52","36.48","36.48","36.48","52","52","52","36.49","36.49","36.49","52","52","52"
"53","35.044","35.044","35.044","53","53","53","36.354","36.354","36.354","53","53","53","37.045","37.045","37.045","53","53","53","35.443","35.443","35.443","53","53","53","34.164","34.164","34.164","3937","3937","3937","35.736","35.736","35.736","53","53","53","35.254","35.254","35.254","53","53","53","33.357","33.357","33.357","53","53","53","33.347","33.347","33.347","53","53","53"
"54","37.654","37.654","37.654","54","54","54","35.463","35.463","35.463","54","54","54","34.981","34.981","34.981","54","54","54","35.673","35.673","35.673","54","54","54","41.385","41.385","41.385","3997","3997","3997","37.035","37.035","37.035","54","54","54","35.904","35.904","35.904","54","54","54","38.984","38.984","38.984","54","54","54","39.425","39.425","39.425","54","54","54"
"55","34.761","34.761","34.761","55","55","55","25.633","25.633","25.633","55","55","55","36.27","36.27","36.27","55","55","55","33.179","33.179","33.179","55","55","55","36.407","36.407","36.407","4057","4057","4057","34.876","34.876","34.876","55","55","55","34.112","34.112","34.112","55","55","55","36.081","36.081","36.081","55","55","55","35.903","35.903","35.903","55","55","55"
"56","36.962","36.962","36.962","56","56","56","35.254","35.254","35.254","56","56","56","31.879","31.879","31.879","56","56","56","35.925","35.925","35.925","56","56","56","34.048","34.048","34.048","4117","4117","4117","35.285","35.285","35.285","56","56","56","17.878","17.878","17.878","56","56","56","32.456","32.456","32.456","56","56","56","35.673","35.673","35.673","56","56","56"
"57","30.936","30.936","30.936","57","57","57","42.401","42.401","42.401","57","57","57","40.389","40.389","40.389","57","57","57","38.209","38.209","38.209","57","57","57","34.174","34.174","34.174","4177","4177","4177","36.679","36.679","36.679","57","57","57","43.009","43.009","43.009","57","57","57","39.477","39.477","39.477","57","57","57","35.809","35.809","35.809","57","57","57"
"58","41.091","41.091","41.091","58","58","58","34.667","34.667","34.667","58","58","58","36.291","36.291","36.291","58","58","58","36.019","36.019","36.019","58","58","58","31.576","31.576","31.576","4238","4238","4238","36.386","36.386","36.386","58","58","58","31.564","31.564","31.564","58","58","58","35.474","35.474","35.474","58","58","58","36.417","36.417","36.417","58","58","58"
"59","34.415","34.415","34.415","59","59","59","34.677","34.677","34.677","59","59","59","30.621","30.621","30.621","59","59","59","37.539","37.539","37.539","59","59","59","36.784","36.784","36.784","4293","4293","4293","36.941","36.941","36.941","59","59","59","40.326","40.326","40.326","59","59","59","36.459","36.459","36.459","59","59","59","29.312","29.312","29.312","59","59","59"
