"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/active_gnb_count","2026-05-08_13-32 - external/active_gnb_count__MIN","2026-05-08_13-32 - external/active_gnb_count__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"39","7","7","7","39","39","39","4","4","4","39","39","39","6","6","6","39","39","39","8","8","8","39","39","39","5","5","5","3107","3107","3107","4","4","4","39","39","39","7","7","7","39","39","39","4","4","4","39","39","39","5","5","5","39","39","39"
"40","7","7","7","40","40","40","7","7","7","40","40","40","1","1","1","40","40","40","6","6","6","40","40","40","5","5","5","3167","3167","3167","4","4","4","40","40","40","4","4","4","40","40","40","7","7","7","40","40","40","5","5","5","40","40","40"
"41","5","5","5","41","41","41","4","4","4","41","41","41","5","5","5","41","41","41","4","4","4","41","41","41","5","5","5","3225","3225","3225","7","7","7","41","41","41","6","6","6","41","41","41","7","7","7","41","41","41","7","7","7","41","41","41"
"42","7","7","7","42","42","42","5","5","5","42","42","42","4","4","4","42","42","42","8","8","8","42","42","42","5","5","5","3283","3283","3283","3","3","3","42","42","42","5","5","5","42","42","42","4","4","4","42","42","42","5","5","5","42","42","42"
"43","7","7","7","43","43","43","4","4","4","43","43","43","2","2","2","43","43","43","4","4","4","43","43","43","5","5","5","3339","3339","3339","5","5","5","43","43","43","8","8","8","43","43","43","5","5","5","43","43","43","8","8","8","43","43","43"
"44","4","4","4","44","44","44","5","5","5","44","44","44","4","4","4","44","44","44","6","6","6","44","44","44","5","5","5","3398","3398","3398","6","6","6","44","44","44","5","5","5","44","44","44","8","8","8","44","44","44","7","7","7","44","44","44"
"45","2","2","2","45","45","45","4","4","4","45","45","45","5","5","5","45","45","45","6","6","6","45","45","45","5","5","5","3457","3457","3457","5","5","5","45","45","45","6","6","6","45","45","45","9","9","9","45","45","45","3","3","3","45","45","45"
"46","6","6","6","46","46","46","4","4","4","46","46","46","8","8","8","46","46","46","5","5","5","46","46","46","5","5","5","3516","3516","3516","4","4","4","46","46","46","7","7","7","46","46","46","6","6","6","46","46","46","5","5","5","46","46","46"
"47","5","5","5","47","47","47","5","5","5","47","47","47","7","7","7","47","47","47","5","5","5","47","47","47","5","5","5","3576","3576","3576","4","4","4","47","47","47","5","5","5","47","47","47","4","4","4","47","47","47","6","6","6","47","47","47"
"48","6","6","6","48","48","48","4","4","4","48","48","48","4","4","4","48","48","48","5","5","5","48","48","48","5","5","5","3634","3634","3634","8","8","8","48","48","48","5","5","5","48","48","48","3","3","3","48","48","48","3","3","3","48","48","48"
"49","4","4","4","49","49","49","4","4","4","49","49","49","5","5","5","49","49","49","6","6","6","49","49","49","5","5","5","3695","3695","3695","6","6","6","49","49","49","8","8","8","49","49","49","7","7","7","49","49","49","7","7","7","49","49","49"
"50","6","6","6","50","50","50","9","9","9","50","50","50","3","3","3","50","50","50","4","4","4","50","50","50","5","5","5","3755","3755","3755","6","6","6","50","50","50","5","5","5","50","50","50","8","8","8","50","50","50","7","7","7","50","50","50"
"51","7","7","7","51","51","51","9","9","9","51","51","51","7","7","7","51","51","51","6","6","6","51","51","51","5","5","5","3816","3816","3816","4","4","4","51","51","51","6","6","6","51","51","51","4","4","4","51","51","51","8","8","8","51","51","51"
"52","8","8","8","52","52","52","6","6","6","52","52","52","6","6","6","52","52","52","7","7","7","52","52","52","5","5","5","3876","3876","3876","6","6","6","52","52","52","6","6","6","52","52","52","4","4","4","52","52","52","7","7","7","52","52","52"
"53","5","5","5","53","53","53","7","7","7","53","53","53","3","3","3","53","53","53","4","4","4","53","53","53","5","5","5","3937","3937","3937","6","6","6","53","53","53","6","6","6","53","53","53","6","6","6","53","53","53","6","6","6","53","53","53"
"54","5","5","5","54","54","54","10","10","10","54","54","54","4","4","4","54","54","54","8","8","8","54","54","54","5","5","5","3997","3997","3997","5","5","5","54","54","54","5","5","5","54","54","54","6","6","6","54","54","54","4","4","4","54","54","54"
"55","5","5","5","55","55","55","4","4","4","55","55","55","3","3","3","55","55","55","7","7","7","55","55","55","5","5","5","4057","4057","4057","4","4","4","55","55","55","4","4","4","55","55","55","6","6","6","55","55","55","6","6","6","55","55","55"
"56","8","8","8","56","56","56","6","6","6","56","56","56","5","5","5","56","56","56","4","4","4","56","56","56","5","5","5","4117","4117","4117","7","7","7","56","56","56","5","5","5","56","56","56","4","4","4","56","56","56","8","8","8","56","56","56"
"57","2","2","2","57","57","57","5","5","5","57","57","57","5","5","5","57","57","57","5","5","5","57","57","57","5","5","5","4177","4177","4177","5","5","5","57","57","57","5","5","5","57","57","57","5","5","5","57","57","57","4","4","4","57","57","57"
"58","7","7","7","58","58","58","6","6","6","58","58","58","4","4","4","58","58","58","5","5","5","58","58","58","5","5","5","4238","4238","4238","5","5","5","58","58","58","5","5","5","58","58","58","7","7","7","58","58","58","7","7","7","58","58","58"
"59","3","3","3","59","59","59","5","5","5","59","59","59","4","4","4","59","59","59","3","3","3","59","59","59","5","5","5","4293","4293","4293","3","3","3","59","59","59","7","7","7","59","59","59","6","6","6","59","59","59","5","5","5","59","59","59"
"60","7","7","7","60","60","60","3","3","3","60","60","60","4","4","4","60","60","60","5","5","5","60","60","60","5","5","5","4350","4350","4350","6","6","6","60","60","60","5","5","5","60","60","60","7","7","7","60","60","60","4","4","4","60","60","60"
"61","6","6","6","61","61","61","5","5","5","61","61","61","7","7","7","61","61","61","5","5","5","61","61","61","5","5","5","4406","4406","4406","6","6","6","61","61","61","8","8","8","61","61","61","7","7","7","61","61","61","4","4","4","61","61","61"
"62","4","4","4","62","62","62","8","8","8","62","62","62","6","6","6","62","62","62","5","5","5","62","62","62","5","5","5","4463","4463","4463","3","3","3","62","62","62","6","6","6","62","62","62","5","5","5","62","62","62","7","7","7","62","62","62"
"63","3","3","3","63","63","63","6","6","6","63","63","63","7","7","7","63","63","63","5","5","5","63","63","63","5","5","5","4519","4519","4519","7","7","7","63","63","63","5","5","5","63","63","63","6","6","6","63","63","63","8","8","8","63","63","63"
"64","4","4","4","64","64","64","6","6","6","64","64","64","6","6","6","64","64","64","5","5","5","64","64","64","5","5","5","4580","4580","4580","4","4","4","64","64","64","7","7","7","64","64","64","5","5","5","64","64","64","6","6","6","64","64","64"
"65","7","7","7","65","65","65","6","6","6","65","65","65","5","5","5","65","65","65","3","3","3","65","65","65","5","5","5","4637","4637","4637","4","4","4","65","65","65","7","7","7","65","65","65","6","6","6","65","65","65","5","5","5","65","65","65"
"66","5","5","5","66","66","66","7","7","7","66","66","66","5","5","5","66","66","66","5","5","5","66","66","66","5","5","5","4699","4699","4699","7","7","7","66","66","66","3","3","3","66","66","66","6","6","6","66","66","66","2","2","2","66","66","66"
"67","4","4","4","67","67","67","5","5","5","67","67","67","3","3","3","67","67","67","5","5","5","67","67","67","5","5","5","4760","4760","4760","4","4","4","67","67","67","9","9","9","67","67","67","5","5","5","67","67","67","6","6","6","67","67","67"
"68","5","5","5","68","68","68","6","6","6","68","68","68","3","3","3","68","68","68","6","6","6","68","68","68","5","5","5","4820","4820","4820","4","4","4","68","68","68","7","7","7","68","68","68","7","7","7","68","68","68","4","4","4","68","68","68"
"69","4","4","4","69","69","69","8","8","8","69","69","69","9","9","9","69","69","69","5","5","5","69","69","69","5","5","5","4880","4880","4880","6","6","6","69","69","69","10","10","10","69","69","69","6","6","6","69","69","69","6","6","6","69","69","69"
"70","1","1","1","70","70","70","1","1","1","70","70","70","5","5","5","70","70","70","5","5","5","70","70","70","6","6","6","5058","5058","5058","10","10","10","70","70","70","5","5","5","70","70","70","5","5","5","70","70","70","5","5","5","70","70","70"
"71","9","9","9","71","71","71","6","6","6","71","71","71","6","6","6","71","71","71","7","7","7","71","71","71","6","6","6","5235","5235","5235","6","6","6","71","71","71","6","6","6","71","71","71","3","3","3","71","71","71","3","3","3","71","71","71"
"72","5","5","5","72","72","72","5","5","5","72","72","72","6","6","6","72","72","72","5","5","5","72","72","72","6","6","6","5411","5411","5411","5","5","5","72","72","72","5","5","5","72","72","72","3","3","3","72","72","72","7","7","7","72","72","72"
"73","6","6","6","73","73","73","7","7","7","73","73","73","7","7","7","73","73","73","6","6","6","73","73","73","6","6","6","5587","5587","5587","5","5","5","73","73","73","4","4","4","73","73","73","6","6","6","73","73","73","6","6","6","73","73","73"
"74","2","2","2","74","74","74","6","6","6","74","74","74","5","5","5","74","74","74","5","5","5","74","74","74","6","6","6","5758","5758","5758","5","5","5","74","74","74","6","6","6","74","74","74","4","4","4","74","74","74","8","8","8","74","74","74"
"75","5","5","5","75","75","75","5","5","5","75","75","75","6","6","6","75","75","75","4","4","4","75","75","75","6","6","6","5927","5927","5927","4","4","4","75","75","75","6","6","6","75","75","75","3","3","3","75","75","75","5","5","5","75","75","75"
"76","5","5","5","76","76","76","7","7","7","76","76","76","6","6","6","76","76","76","2","2","2","76","76","76","6","6","6","6096","6096","6096","6","6","6","76","76","76","8","8","8","76","76","76","5","5","5","76","76","76","6","6","6","76","76","76"
"77","7","7","7","77","77","77","6","6","6","77","77","77","4","4","4","77","77","77","5","5","5","77","77","77","6","6","6","6267","6267","6267","4","4","4","77","77","77","7","7","7","77","77","77","6","6","6","77","77","77","7","7","7","77","77","77"
"78","6","6","6","78","78","78","4","4","4","78","78","78","4","4","4","78","78","78","4","4","4","78","78","78","6","6","6","6438","6438","6438","4","4","4","78","78","78","2","2","2","78","78","78","6","6","6","78","78","78","4","4","4","78","78","78"
"79","4","4","4","79","79","79","6","6","6","79","79","79","5","5","5","79","79","79","6","6","6","79","79","79","6","6","6","6609","6609","6609","7","7","7","79","79","79","5","5","5","79","79","79","1","1","1","79","79","79","8","8","8","79","79","79"
"80","3","3","3","80","80","80","5","5","5","80","80","80","5","5","5","80","80","80","5","5","5","80","80","80","6","6","6","6784","6784","6784","8","8","8","80","80","80","7","7","7","80","80","80","8","8","8","80","80","80","8","8","8","80","80","80"
"81","5","5","5","81","81","81","5","5","5","81","81","81","6","6","6","81","81","81","6","6","6","81","81","81","6","6","6","6960","6960","6960","8","8","8","81","81","81","8","8","8","81","81","81","5","5","5","81","81","81","5","5","5","81","81","81"
"82","7","7","7","82","82","82","7","7","7","82","82","82","6","6","6","82","82","82","5","5","5","82","82","82","6","6","6","7131","7131","7131","6","6","6","82","82","82","5","5","5","82","82","82","6","6","6","82","82","82","6","6","6","82","82","82"
"83","4","4","4","83","83","83","3","3","3","83","83","83","2","2","2","83","83","83","7","7","7","83","83","83","6","6","6","7305","7305","7305","8","8","8","83","83","83","5","5","5","83","83","83","9","9","9","83","83","83","5","5","5","83","83","83"
"84","6","6","6","84","84","84","6","6","6","84","84","84","3","3","3","84","84","84","5","5","5","84","84","84","6","6","6","7480","7480","7480","8","8","8","84","84","84","5","5","5","84","84","84","5","5","5","84","84","84","4","4","4","84","84","84"
"85","8","8","8","85","85","85","7","7","7","85","85","85","8","8","8","85","85","85","7","7","7","85","85","85","6","6","6","7652","7652","7652","8","8","8","85","85","85","8","8","8","85","85","85","4","4","4","85","85","85","6","6","6","85","85","85"
"86","7","7","7","86","86","86","7","7","7","86","86","86","6","6","6","86","86","86","3","3","3","86","86","86","6","6","6","7827","7827","7827","4","4","4","86","86","86","6","6","6","86","86","86","7","7","7","86","86","86","5","5","5","86","86","86"
"87","6","6","6","87","87","87","5","5","5","87","87","87","4","4","4","87","87","87","6","6","6","87","87","87","6","6","6","7998","7998","7998","4","4","4","87","87","87","6","6","6","87","87","87","2","2","2","87","87","87","7","7","7","87","87","87"
"88","6","6","6","88","88","88","4","4","4","88","88","88","6","6","6","88","88","88","5","5","5","88","88","88","6","6","6","8173","8173","8173","3","3","3","88","88","88","7","7","7","88","88","88","6","6","6","88","88","88","8","8","8","88","88","88"
"89","6","6","6","89","89","89","4","4","4","89","89","89","4","4","4","89","89","89","5","5","5","89","89","89","6","6","6","8348","8348","8348","1","1","1","89","89","89","4","4","4","89","89","89","7","7","7","89","89","89","8","8","8","89","89","89"
"90","6","6","6","90","90","90","7","7","7","90","90","90","4","4","4","90","90","90","3","3","3","90","90","90","6","6","6","8520","8520","8520","5","5","5","90","90","90","4","4","4","90","90","90","2","2","2","90","90","90","6","6","6","90","90","90"
