"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/disconnected_ues","ppo_morabito_ns3_20ue_20260508_160337 - external/disconnected_ues__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/disconnected_ues__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/disconnected_ues","a2c_morabito_ns3_20ue_20260508_160335 - external/disconnected_ues__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/disconnected_ues__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/disconnected_ues","dqn_morabito_ns3_20ue_20260508_160334 - external/disconnected_ues__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/disconnected_ues__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/disconnected_ues","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/disconnected_ues__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/disconnected_ues__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/disconnected_ues","2026-05-08_13-32 - external/disconnected_ues__MIN","2026-05-08_13-32 - external/disconnected_ues__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/disconnected_ues","a2c_morabito_ns3_20ue_20260507_232704 - external/disconnected_ues__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/disconnected_ues__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/disconnected_ues","ppo_morabito_ns3_20ue_20260507_232608 - external/disconnected_ues__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/disconnected_ues__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/disconnected_ues","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/disconnected_ues__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/disconnected_ues__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/disconnected_ues","dqn_morabito_ns3_20ue_20260507_232604 - external/disconnected_ues__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/disconnected_ues__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"15","3","3","3","15","15","15","3","3","3","15","15","15","3","3","3","15","15","15","3","3","3","15","15","15","3","3","3","1687","1687","1687","3","3","3","15","15","15","3","3","3","15","15","15","3","3","3","15","15","15","3","3","3","15","15","15"
"16","3","3","3","16","16","16","3","3","3","16","16","16","3","3","3","16","16","16","3","3","3","16","16","16","3","3","3","1747","1747","1747","3","3","3","16","16","16","3","3","3","16","16","16","3","3","3","16","16","16","3","3","3","16","16","16"
"17","3","3","3","17","17","17","3","3","3","17","17","17","3","3","3","17","17","17","3","3","3","17","17","17","3","3","3","1807","1807","1807","3","3","3","17","17","17","3","3","3","17","17","17","3","3","3","17","17","17","3","3","3","17","17","17"
"18","3","3","3","18","18","18","3","3","3","18","18","18","3","3","3","18","18","18","3","3","3","18","18","18","3","3","3","1865","1865","1865","3","3","3","18","18","18","3","3","3","18","18","18","3","3","3","18","18","18","3","3","3","18","18","18"
"19","3","3","3","19","19","19","3","3","3","19","19","19","3","3","3","19","19","19","3","3","3","19","19","19","3","3","3","1925","1925","1925","3","3","3","19","19","19","3","3","3","19","19","19","3","3","3","19","19","19","3","3","3","19","19","19"
"20","3","3","3","20","20","20","3","3","3","20","20","20","3","3","3","20","20","20","3","3","3","20","20","20","3","3","3","1981","1981","1981","3","3","3","20","20","20","3","3","3","20","20","20","3","3","3","20","20","20","3","3","3","20","20","20"
"21","3","3","3","21","21","21","3","3","3","21","21","21","3","3","3","21","21","21","3","3","3","21","21","21","3","3","3","2041","2041","2041","3","3","3","21","21","21","3","3","3","21","21","21","3","3","3","21","21","21","10","10","10","21","21","21"
"22","3","3","3","22","22","22","3","3","3","22","22","22","3","3","3","22","22","22","3","3","3","22","22","22","3","3","3","2101","2101","2101","3","3","3","22","22","22","3","3","3","22","22","22","3","3","3","22","22","22","3","3","3","22","22","22"
"23","3","3","3","23","23","23","3","3","3","23","23","23","3","3","3","23","23","23","3","3","3","23","23","23","3","3","3","2158","2158","2158","3","3","3","23","23","23","3","3","3","23","23","23","3","3","3","23","23","23","3","3","3","23","23","23"
"24","3","3","3","24","24","24","3","3","3","24","24","24","3","3","3","24","24","24","3","3","3","24","24","24","3","3","3","2219","2219","2219","3","3","3","24","24","24","3","3","3","24","24","24","3","3","3","24","24","24","3","3","3","24","24","24"
"25","3","3","3","25","25","25","3","3","3","25","25","25","3","3","3","25","25","25","3","3","3","25","25","25","3","3","3","2278","2278","2278","3","3","3","25","25","25","3","3","3","25","25","25","3","3","3","25","25","25","3","3","3","25","25","25"
"26","3","3","3","26","26","26","3","3","3","26","26","26","3","3","3","26","26","26","3","3","3","26","26","26","3","3","3","2335","2335","2335","3","3","3","26","26","26","3","3","3","26","26","26","3","3","3","26","26","26","3","3","3","26","26","26"
"27","3","3","3","27","27","27","3","3","3","27","27","27","3","3","3","27","27","27","3","3","3","27","27","27","3","3","3","2393","2393","2393","3","3","3","27","27","27","3","3","3","27","27","27","3","3","3","27","27","27","3","3","3","27","27","27"
"28","3","3","3","28","28","28","3","3","3","28","28","28","3","3","3","28","28","28","3","3","3","28","28","28","3","3","3","2453","2453","2453","3","3","3","28","28","28","3","3","3","28","28","28","3","3","3","28","28","28","3","3","3","28","28","28"
"29","3","3","3","29","29","29","3","3","3","29","29","29","3","3","3","29","29","29","3","3","3","29","29","29","3","3","3","2514","2514","2514","3","3","3","29","29","29","3","3","3","29","29","29","3","3","3","29","29","29","3","3","3","29","29","29"
"30","3","3","3","30","30","30","3","3","3","30","30","30","3","3","3","30","30","30","3","3","3","30","30","30","3","3","3","2572","2572","2572","3","3","3","30","30","30","3","3","3","30","30","30","3","3","3","30","30","30","3","3","3","30","30","30"
"31","3","3","3","31","31","31","3","3","3","31","31","31","3","3","3","31","31","31","3","3","3","31","31","31","3","3","3","2632","2632","2632","3","3","3","31","31","31","3","3","3","31","31","31","3","3","3","31","31","31","3","3","3","31","31","31"
"32","3","3","3","32","32","32","3","3","3","32","32","32","3","3","3","32","32","32","3","3","3","32","32","32","3","3","3","2692","2692","2692","3","3","3","32","32","32","10","10","10","32","32","32","3","3","3","32","32","32","3","3","3","32","32","32"
"33","3","3","3","33","33","33","3","3","3","33","33","33","3","3","3","33","33","33","3","3","3","33","33","33","3","3","3","2751","2751","2751","3","3","3","33","33","33","3","3","3","33","33","33","3","3","3","33","33","33","3","3","3","33","33","33"
"34","3","3","3","34","34","34","3","3","3","34","34","34","3","3","3","34","34","34","3","3","3","34","34","34","3","3","3","2810","2810","2810","3","3","3","34","34","34","3","3","3","34","34","34","3","3","3","34","34","34","3","3","3","34","34","34"
"35","3","3","3","35","35","35","3","3","3","35","35","35","3","3","3","35","35","35","3","3","3","35","35","35","3","3","3","2871","2871","2871","3","3","3","35","35","35","3","3","3","35","35","35","3","3","3","35","35","35","3","3","3","35","35","35"
"36","3","3","3","36","36","36","3","3","3","36","36","36","3","3","3","36","36","36","3","3","3","36","36","36","3","3","3","2932","2932","2932","3","3","3","36","36","36","3","3","3","36","36","36","3","3","3","36","36","36","3","3","3","36","36","36"
"37","3","3","3","37","37","37","3","3","3","37","37","37","3","3","3","37","37","37","3","3","3","37","37","37","3","3","3","2991","2991","2991","3","3","3","37","37","37","3","3","3","37","37","37","3","3","3","37","37","37","3","3","3","37","37","37"
"38","3","3","3","38","38","38","3","3","3","38","38","38","3","3","3","38","38","38","3","3","3","38","38","38","3","3","3","3050","3050","3050","3","3","3","38","38","38","3","3","3","38","38","38","3","3","3","38","38","38","3","3","3","38","38","38"
"39","3","3","3","39","39","39","3","3","3","39","39","39","3","3","3","39","39","39","3","3","3","39","39","39","3","3","3","3107","3107","3107","3","3","3","39","39","39","3","3","3","39","39","39","3","3","3","39","39","39","3","3","3","39","39","39"
"40","3","3","3","40","40","40","3","3","3","40","40","40","10","10","10","40","40","40","3","3","3","40","40","40","3","3","3","3167","3167","3167","3","3","3","40","40","40","3","3","3","40","40","40","3","3","3","40","40","40","3","3","3","40","40","40"
"41","3","3","3","41","41","41","3","3","3","41","41","41","3","3","3","41","41","41","3","3","3","41","41","41","3","3","3","3225","3225","3225","3","3","3","41","41","41","3","3","3","41","41","41","3","3","3","41","41","41","3","3","3","41","41","41"
"42","3","3","3","42","42","42","3","3","3","42","42","42","3","3","3","42","42","42","3","3","3","42","42","42","3","3","3","3283","3283","3283","3","3","3","42","42","42","3","3","3","42","42","42","3","3","3","42","42","42","3","3","3","42","42","42"
"43","3","3","3","43","43","43","3","3","3","43","43","43","3","3","3","43","43","43","3","3","3","43","43","43","3","3","3","3339","3339","3339","3","3","3","43","43","43","3","3","3","43","43","43","3","3","3","43","43","43","3","3","3","43","43","43"
"44","3","3","3","44","44","44","3","3","3","44","44","44","3","3","3","44","44","44","3","3","3","44","44","44","3","3","3","3398","3398","3398","3","3","3","44","44","44","3","3","3","44","44","44","3","3","3","44","44","44","3","3","3","44","44","44"
"45","3","3","3","45","45","45","3","3","3","45","45","45","3","3","3","45","45","45","3","3","3","45","45","45","3","3","3","3457","3457","3457","3","3","3","45","45","45","3","3","3","45","45","45","3","3","3","45","45","45","3","3","3","45","45","45"
"46","3","3","3","46","46","46","3","3","3","46","46","46","3","3","3","46","46","46","3","3","3","46","46","46","3","3","3","3516","3516","3516","3","3","3","46","46","46","3","3","3","46","46","46","3","3","3","46","46","46","3","3","3","46","46","46"
"47","3","3","3","47","47","47","3","3","3","47","47","47","3","3","3","47","47","47","3","3","3","47","47","47","3","3","3","3576","3576","3576","3","3","3","47","47","47","3","3","3","47","47","47","3","3","3","47","47","47","3","3","3","47","47","47"
"48","3","3","3","48","48","48","3","3","3","48","48","48","3","3","3","48","48","48","3","3","3","48","48","48","3","3","3","3634","3634","3634","3","3","3","48","48","48","3","3","3","48","48","48","3","3","3","48","48","48","3","3","3","48","48","48"
"49","3","3","3","49","49","49","3","3","3","49","49","49","3","3","3","49","49","49","3","3","3","49","49","49","3","3","3","3695","3695","3695","3","3","3","49","49","49","3","3","3","49","49","49","3","3","3","49","49","49","3","3","3","49","49","49"
"50","3","3","3","50","50","50","3","3","3","50","50","50","3","3","3","50","50","50","3","3","3","50","50","50","3","3","3","3755","3755","3755","3","3","3","50","50","50","3","3","3","50","50","50","3","3","3","50","50","50","3","3","3","50","50","50"
"51","3","3","3","51","51","51","3","3","3","51","51","51","3","3","3","51","51","51","3","3","3","51","51","51","3","3","3","3816","3816","3816","3","3","3","51","51","51","3","3","3","51","51","51","3","3","3","51","51","51","3","3","3","51","51","51"
"52","3","3","3","52","52","52","3","3","3","52","52","52","3","3","3","52","52","52","3","3","3","52","52","52","3","3","3","3876","3876","3876","3","3","3","52","52","52","3","3","3","52","52","52","3","3","3","52","52","52","3","3","3","52","52","52"
"53","3","3","3","53","53","53","3","3","3","53","53","53","3","3","3","53","53","53","3","3","3","53","53","53","3","3","3","3937","3937","3937","3","3","3","53","53","53","3","3","3","53","53","53","3","3","3","53","53","53","3","3","3","53","53","53"
"54","3","3","3","54","54","54","3","3","3","54","54","54","3","3","3","54","54","54","3","3","3","54","54","54","3","3","3","3997","3997","3997","3","3","3","54","54","54","3","3","3","54","54","54","3","3","3","54","54","54","3","3","3","54","54","54"
"55","3","3","3","55","55","55","3","3","3","55","55","55","3","3","3","55","55","55","3","3","3","55","55","55","3","3","3","4057","4057","4057","3","3","3","55","55","55","3","3","3","55","55","55","3","3","3","55","55","55","3","3","3","55","55","55"
"56","3","3","3","56","56","56","3","3","3","56","56","56","3","3","3","56","56","56","3","3","3","56","56","56","3","3","3","4117","4117","4117","3","3","3","56","56","56","3","3","3","56","56","56","3","3","3","56","56","56","3","3","3","56","56","56"
"57","3","3","3","57","57","57","3","3","3","57","57","57","3","3","3","57","57","57","3","3","3","57","57","57","3","3","3","4177","4177","4177","3","3","3","57","57","57","3","3","3","57","57","57","3","3","3","57","57","57","3","3","3","57","57","57"
"58","3","3","3","58","58","58","3","3","3","58","58","58","3","3","3","58","58","58","3","3","3","58","58","58","3","3","3","4238","4238","4238","3","3","3","58","58","58","3","3","3","58","58","58","3","3","3","58","58","58","3","3","3","58","58","58"
"59","3","3","3","59","59","59","3","3","3","59","59","59","3","3","3","59","59","59","3","3","3","59","59","59","3","3","3","4293","4293","4293","3","3","3","59","59","59","3","3","3","59","59","59","3","3","3","59","59","59","3","3","3","59","59","59"
"60","3","3","3","60","60","60","3","3","3","60","60","60","3","3","3","60","60","60","3","3","3","60","60","60","3","3","3","4350","4350","4350","3","3","3","60","60","60","3","3","3","60","60","60","3","3","3","60","60","60","3","3","3","60","60","60"
"61","3","3","3","61","61","61","3","3","3","61","61","61","3","3","3","61","61","61","3","3","3","61","61","61","3","3","3","4406","4406","4406","3","3","3","61","61","61","3","3","3","61","61","61","3","3","3","61","61","61","3","3","3","61","61","61"
"62","3","3","3","62","62","62","3","3","3","62","62","62","3","3","3","62","62","62","3","3","3","62","62","62","3","3","3","4463","4463","4463","3","3","3","62","62","62","3","3","3","62","62","62","3","3","3","62","62","62","3","3","3","62","62","62"
"63","3","3","3","63","63","63","3","3","3","63","63","63","3","3","3","63","63","63","3","3","3","63","63","63","3","3","3","4519","4519","4519","3","3","3","63","63","63","3","3","3","63","63","63","3","3","3","63","63","63","3","3","3","63","63","63"
"64","3","3","3","64","64","64","3","3","3","64","64","64","3","3","3","64","64","64","3","3","3","64","64","64","3","3","3","4580","4580","4580","3","3","3","64","64","64","3","3","3","64","64","64","3","3","3","64","64","64","3","3","3","64","64","64"
"65","3","3","3","65","65","65","3","3","3","65","65","65","3","3","3","65","65","65","3","3","3","65","65","65","3","3","3","4637","4637","4637","3","3","3","65","65","65","3","3","3","65","65","65","3","3","3","65","65","65","3","3","3","65","65","65"
"66","3","3","3","66","66","66","3","3","3","66","66","66","3","3","3","66","66","66","3","3","3","66","66","66","3","3","3","4699","4699","4699","3","3","3","66","66","66","3","3","3","66","66","66","3","3","3","66","66","66","3","3","3","66","66","66"
"67","3","3","3","67","67","67","3","3","3","67","67","67","3","3","3","67","67","67","3","3","3","67","67","67","3","3","3","4760","4760","4760","3","3","3","67","67","67","3","3","3","67","67","67","3","3","3","67","67","67","3","3","3","67","67","67"
"68","3","3","3","68","68","68","3","3","3","68","68","68","3","3","3","68","68","68","3","3","3","68","68","68","3","3","3","4820","4820","4820","3","3","3","68","68","68","3","3","3","68","68","68","3","3","3","68","68","68","3","3","3","68","68","68"
"69","3","3","3","69","69","69","3","3","3","69","69","69","3","3","3","69","69","69","3","3","3","69","69","69","3","3","3","4880","4880","4880","3","3","3","69","69","69","3","3","3","69","69","69","3","3","3","69","69","69","3","3","3","69","69","69"
"70","10","10","10","70","70","70","10","10","10","70","70","70","3","3","3","70","70","70","3","3","3","70","70","70","3","3","3","5058","5058","5058","3","3","3","70","70","70","3","3","3","70","70","70","3","3","3","70","70","70","3","3","3","70","70","70"
"71","3","3","3","71","71","71","3","3","3","71","71","71","3","3","3","71","71","71","3","3","3","71","71","71","3","3","3","5235","5235","5235","3","3","3","71","71","71","3","3","3","71","71","71","3","3","3","71","71","71","3","3","3","71","71","71"
"72","3","3","3","72","72","72","3","3","3","72","72","72","3","3","3","72","72","72","3","3","3","72","72","72","3","3","3","5411","5411","5411","3","3","3","72","72","72","3","3","3","72","72","72","3","3","3","72","72","72","3","3","3","72","72","72"
"73","3","3","3","73","73","73","3","3","3","73","73","73","3","3","3","73","73","73","3","3","3","73","73","73","3","3","3","5587","5587","5587","3","3","3","73","73","73","3","3","3","73","73","73","3","3","3","73","73","73","3","3","3","73","73","73"
"74","3","3","3","74","74","74","3","3","3","74","74","74","3","3","3","74","74","74","3","3","3","74","74","74","3","3","3","5758","5758","5758","3","3","3","74","74","74","3","3","3","74","74","74","3","3","3","74","74","74","3","3","3","74","74","74"
"75","3","3","3","75","75","75","3","3","3","75","75","75","3","3","3","75","75","75","3","3","3","75","75","75","3","3","3","5927","5927","5927","3","3","3","75","75","75","3","3","3","75","75","75","3","3","3","75","75","75","3","3","3","75","75","75"
"76","3","3","3","76","76","76","3","3","3","76","76","76","3","3","3","76","76","76","3","3","3","76","76","76","3","3","3","6096","6096","6096","3","3","3","76","76","76","3","3","3","76","76","76","3","3","3","76","76","76","3","3","3","76","76","76"
"77","3","3","3","77","77","77","3","3","3","77","77","77","3","3","3","77","77","77","3","3","3","77","77","77","3","3","3","6267","6267","6267","3","3","3","77","77","77","3","3","3","77","77","77","3","3","3","77","77","77","3","3","3","77","77","77"
"78","3","3","3","78","78","78","3","3","3","78","78","78","3","3","3","78","78","78","3","3","3","78","78","78","3","3","3","6438","6438","6438","3","3","3","78","78","78","3","3","3","78","78","78","3","3","3","78","78","78","3","3","3","78","78","78"
"79","3","3","3","79","79","79","3","3","3","79","79","79","3","3","3","79","79","79","3","3","3","79","79","79","3","3","3","6609","6609","6609","3","3","3","79","79","79","3","3","3","79","79","79","10","10","10","79","79","79","3","3","3","79","79","79"
"80","3","3","3","80","80","80","3","3","3","80","80","80","3","3","3","80","80","80","3","3","3","80","80","80","3","3","3","6784","6784","6784","3","3","3","80","80","80","3","3","3","80","80","80","3","3","3","80","80","80","3","3","3","80","80","80"
"81","3","3","3","81","81","81","3","3","3","81","81","81","3","3","3","81","81","81","3","3","3","81","81","81","3","3","3","6960","6960","6960","3","3","3","81","81","81","3","3","3","81","81","81","3","3","3","81","81","81","3","3","3","81","81","81"
"82","3","3","3","82","82","82","3","3","3","82","82","82","3","3","3","82","82","82","3","3","3","82","82","82","3","3","3","7131","7131","7131","3","3","3","82","82","82","3","3","3","82","82","82","3","3","3","82","82","82","3","3","3","82","82","82"
"83","3","3","3","83","83","83","3","3","3","83","83","83","3","3","3","83","83","83","3","3","3","83","83","83","3","3","3","7305","7305","7305","3","3","3","83","83","83","3","3","3","83","83","83","3","3","3","83","83","83","3","3","3","83","83","83"
"84","3","3","3","84","84","84","3","3","3","84","84","84","3","3","3","84","84","84","3","3","3","84","84","84","3","3","3","7480","7480","7480","3","3","3","84","84","84","3","3","3","84","84","84","3","3","3","84","84","84","3","3","3","84","84","84"
"85","3","3","3","85","85","85","3","3","3","85","85","85","3","3","3","85","85","85","3","3","3","85","85","85","3","3","3","7652","7652","7652","3","3","3","85","85","85","3","3","3","85","85","85","3","3","3","85","85","85","3","3","3","85","85","85"
"86","3","3","3","86","86","86","3","3","3","86","86","86","3","3","3","86","86","86","3","3","3","86","86","86","3","3","3","7827","7827","7827","3","3","3","86","86","86","3","3","3","86","86","86","3","3","3","86","86","86","3","3","3","86","86","86"
"87","3","3","3","87","87","87","3","3","3","87","87","87","3","3","3","87","87","87","3","3","3","87","87","87","3","3","3","7998","7998","7998","3","3","3","87","87","87","3","3","3","87","87","87","3","3","3","87","87","87","3","3","3","87","87","87"
"88","3","3","3","88","88","88","3","3","3","88","88","88","3","3","3","88","88","88","3","3","3","88","88","88","3","3","3","8173","8173","8173","3","3","3","88","88","88","3","3","3","88","88","88","3","3","3","88","88","88","3","3","3","88","88","88"
"89","3","3","3","89","89","89","3","3","3","89","89","89","3","3","3","89","89","89","3","3","3","89","89","89","3","3","3","8348","8348","8348","10","10","10","89","89","89","3","3","3","89","89","89","3","3","3","89","89","89","3","3","3","89","89","89"
"90","3","3","3","90","90","90","3","3","3","90","90","90","3","3","3","90","90","90","3","3","3","90","90","90","3","3","3","8520","8520","8520","3","3","3","90","90","90","3","3","3","90","90","90","3","3","3","90","90","90","3","3","3","90","90","90"
